Treatment,Trial,Arena,Fish_ID,Tank_ID,Batch,Body_mass,Body_length,Velocity,notes,Distance_moved,Time_moving,Time_not_moving,Arena_freq,Time_arena,Shelter_freq,Time_shelter,Distance_shelter,total_wbc,N-L_ratio,Lymphocyte,Neutrophil,Monocyte
low,Trial    30,Arena 4,113,12,Batch 6,0.3711,2.89,1.96682,,717.821,136.333,233.7,42,372.766,20,827.234,9.04409,25,1.040816327,49,51,
low,Trial    17,Arena 2,11,2,Batch 1,0.7824,3.69,1.9701,,791.912,144.833,259.1,15,404.466,1,795.534,9.09174,35,0.884615385,52,46,2
high,Trial    10,Arena 2,27,3,Batch 2,0.5193,3.29,2.01203,,1690.78,354,527.999,39,898.666,57,301.334,7.74623,45,0.164705882,85,14,1
low,Trial     1,Arena 3,2,1,Batch 1,0.5491,3.4,2.01775,,441.888,93,143.8,30,245.6,29,954.4,4.27303,45,1.742857143,35,61,4
Control,Trial    13,Arena 4,85,9,Batch 5,0.4121,3,2.03939,,539.758,106.967,160.833,34,269.633,1,930.367,5.0341,43,0.219512195,82,18,
low,Trial    36,Arena 1,80,18,Batch 4,0.4316,3,2.05317,,266.214,48.48,82.14,18,131.36,29,1068.64,6.19996,42,0.818181818,55,45,
low,Trial    36,Arena 4,77,18,Batch 4,0.4365,2.99,2.15333,,771.281,157.96,201.66,19,360.52,31,839.48,4.99415,34,0.639344262,61,39,
Control,Trial    24,Arena 1,152,20,Batch 8,0.6223,3.4,2.17902,,2458.07,416.166,713.199,15,1130.03,4,69.97,12.4718,45,0.149425287,87,13,
high,Trial    28,Arena 4,73,8,Batch 4,0.8393,3.71,2.20246,,476.759,97.3333,120.167,10,217.866,4,982.134,9.89555,26,0.154761905,84,13,3
low,Trial    34,Arena 4,37,14,Batch 2,0.5876,3.39,2.27126,,2.04413,0.366667,0.733332,2,1.33333,0,1198.66667,1.35479,70,0.785714286,56,44,
high,Trial    29,Arena 3,94,10,Batch 5,0.7085,3.51,2.27351,,446.138,87.8666,113.4,44,203.4,3,996.6,8.12525,36,0.123595506,89,11,
high,Trial    39,Arena 4,137,23,Batch 7,0.3986,2.9,2.27927,,522.104,99.2999,130.967,11,230.833,0,969.167,9.45672,26,0.234567901,81,19,
Control,Trial     3,Arena 3,42,5,Batch 3,0.3787,2.99,2.29705,,313.164,81.9999,75.6666,15,167.333,7,1032.667,6.09782,52,0.195121951,82,16,2
high,Trial    38,Arena 4,117,22,Batch 6,0.5064,3.18,2.3563,,5.57657,1.1,1.83333,5,3.23333,0,1196.76667,1.04822,23,0.204819277,83,17,
Control,Trial    26,Arena 4,33,4,Batch 2,0.4488,3.07,2.40909,,516.349,90.1666,125.533,10,216.366,2,983.634,11.4249,55,0.678571429,56,38,6
Control,Trial    32,Arena 1,156,24,Batch 8,0.5907,3.35,2.4553,,1555.92,250.133,389.566,35,641.999,5,558.001,11.4413,45,0.253164557,79,20,1
