feature,metadata,value,coef,stderr,N,N.not.0,pval,qval,approximate_fold_change,direction
Methylobacterium,treatment,Low,0.214196754036889,1.26754333053605,121,76,0.867722204856841,0.982942924299246,1.2388663827774111,Higher than Control
Duncaniella.1,treatment,Low,-0.098246518267126,0.584322433019673,121,25,0.86855764363814,0.982942924299246,0.9064254257841085,Lower than Control
Acidovorax,treatment,Low,0.104304211080547,0.622614002269623,121,27,0.868880621363207,0.982942924299246,1.1099380590177985,Higher than Control
Massilia,treatment,Low,0.28739951024819,1.76762613379406,121,95,0.872690621388252,0.982942924299246,1.3329566369511316,Higher than Control
Desulfovibrio.2,treatment,High,0.179183713135492,1.10523243118549,121,47,0.873153944870599,0.982942924299246,1.196240489073303,Higher than Control
Vibrio,treatment,Low,-0.0926453979418427,0.572730778265198,121,13,0.873316731930919,0.982942924299246,0.9115166686814261,Lower than Control
Mucispirillum,treatment,Low,0.0458405542088697,0.303179208467718,121,22,0.880078707805603,0.982942924299246,1.0469074726582681,Higher than Control
Staphylococcus,treatment,Low,-0.0527455360303387,0.353579727858826,121,17,0.881671749297947,0.982942924299246,0.948621371732336,Lower than Control
Anaerobacillus,treatment,Low,0.0631885582940033,0.441415404935353,121,13,0.887738697688771,0.982942924299246,1.0652276778094734,Higher than Control
Faecalibaculum,treatment,High,0.140009439365203,1.0213961960543,121,49,0.892749003690097,0.982942924299246,1.150284656762944,Higher than Control
Dysosmobacter,treatment,Low,0.0475764482789325,0.349206277767882,121,16,0.893374134235608,0.982942924299246,1.0487263713829702,Higher than Control
Bifidobacterium.1,treatment,Low,-0.0982312366646075,0.749560650348753,121,31,0.897473098751157,0.982942924299246,0.9064392775230161,Lower than Control
Methylophaga,treatment,Low,-0.109491731784407,0.900403976895391,121,34,0.904606094088375,0.982942924299246,0.8962895750469126,Lower than Control
Dysosmobacter,treatment,High,-0.0383921650862831,0.318498248075827,121,16,0.905582970397502,0.982942924299246,0.9623354725074674,Lower than Control
Enterenecus,treatment,High,-0.0376768014846888,0.318154620542956,121,13,0.907121391766057,0.982942924299246,0.9630241385709716,Lower than Control
Klebsiella,treatment,High,-0.0551799279512857,0.473740767639785,121,19,0.90874088886592,0.982942924299246,0.9463148641397585,Lower than Control
Brevundimonas,treatment,Low,-0.0330378006949777,0.304949458815182,121,13,0.913912672726782,0.982942924299246,0.9675019866503074,Lower than Control
Ligilactobacillus,treatment,High,0.0642303626350998,0.685890414723302,121,31,0.926479604782633,0.982942924299246,1.0663380149050488,Higher than Control
Duncaniella,treatment,Low,0.109340841886893,1.20284130372002,121,59,0.928600026332401,0.982942924299246,1.115542509164475,Higher than Control
Thiomicrorhabdus,treatment,Low,-0.0938721966638712,1.04745640896109,121,37,0.929722062796657,0.982942924299246,0.910399106849058,Lower than Control
Deinococcus,treatment,Low,-0.114454189880305,1.38322672457973,121,58,0.934979473969788,0.982942924299246,0.8918527933655475,Lower than Control
Rossellomorea,treatment,Low,-0.0366711815224956,0.480404175652024,121,22,0.939283737948187,0.982942924299246,0.9639930619714955,Lower than Control
Faecalibaculum,treatment,Low,0.0765512591888237,1.11214196332162,121,49,0.945980857725567,0.982942924299246,1.0795575261619983,Higher than Control
Clostridium,treatment,Low,-0.0485563889244623,0.730816387356561,121,32,0.947801935282724,0.982942924299246,0.9526036214976493,Lower than Control
Niallia,treatment,High,0.0208693505634367,0.353012600732953,121,14,0.95295908626573,0.982942924299246,1.0210886382672568,Higher than Control
SOKP01,treatment,Low,0.068980534380621,1.17021469761501,121,54,0.953711945930112,0.982942924299246,1.071415353181898,Higher than Control
Desulfovibrio.1,treatment,Low,-0.0441894617005452,0.762224864186564,121,37,0.954444963435109,0.982942924299246,0.956772668523119,Lower than Control
Clostridium,treatment,High,0.0348616921707009,0.667145332330244,121,32,0.958947725069098,0.982942924299246,1.0354764843904767,Higher than Control
Pseudomonas,treatment,Low,0.025755209875926,0.529584876769835,121,121,0.961740974830521,0.982942924299246,1.0260897410931205,Higher than Control
SOKP01,treatment,High,-0.051318098278091,1.07487992964874,121,54,0.962521589875498,0.982942924299246,0.9499764365962198,Lower than Control
Aquabacterium.1,treatment,High,0.0365983298374302,0.832426374139334,121,76,0.965514858265571,0.982942924299246,1.037276294212708,Higher than Control
NM07.P.09,treatment,High,-0.00963460040267892,0.27384036652573,121,13,0.972324489186489,0.986314769606438,0.9904116636619742,Lower than Control
Aquabacterium.1,treatment,Low,0.0147203239640485,0.910870745548726,121,76,0.987314482446596,0.995193110869999,1.0148292015144684,Higher than Control
Dubosiella,treatment,Low,-0.0118133712084147,1.09439793913105,121,48,0.99150657001725,0.995193110869999,0.9882561327001921,Lower than Control
Streptococcus,treatment,Low,0.00139121409676206,0.22612148689338,121,14,0.995171011120979,0.995193110869999,1.0013921822840268,Higher than Control
