feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
Vibrio	treatment	Low	-0.0926453979418427	0.572730778265198	121	13	0.873316731930919	0.982942924299246
Vibrio	log_reads	log_reads	-0.0349422331872965	0.202647156779192	121	13	0.863417185389346	0.982942924299246
Brevundimonas	treatment	Low	-0.0330378006949777	0.304949458815182	121	13	0.913912672726782	0.982942924299246
Caulobacter	treatment	Low	0.126264592985857	0.639958082506636	121	55	0.846118830779757	0.982942924299246
Methylobacterium	treatment	Low	0.214196754036889	1.26754333053605	121	76	0.867722204856841	0.982942924299246
Bosea	treatment	Low	-0.0689549495723222	0.39977820389972	121	14	0.865582222437313	0.982942924299246
Bosea	log_reads	log_reads	-0.0206332390142615	0.175203536440502	121	14	0.906547299021523	0.982942924299246
HIMB11	log_reads	log_reads	-0.0138284209536158	0.174164141450874	121	24	0.936851079203401	0.982942924299246
VGCI01	treatment	High	-0.0952001597200938	0.356197708684373	121	14	0.79276930014677	0.982942924299246
Rikenella	treatment	Low	-0.234099532594334	0.838959553649939	121	34	0.783701121172381	0.982942924299246
Rikenella	treatment	High	0.21616887491911	0.767021659499276	121	34	0.781699745802911	0.982942924299246
Alistipes	treatment	Low	0.236775459344471	0.771606892794972	121	25	0.762447996606343	0.982942924299246
Phocaeicola	treatment	Low	-0.184275065824193	0.801984525478232	121	41	0.820995337827095	0.982942924299246
Phocaeicola	treatment	High	0.129499061739742	0.734552285273774	121	41	0.862202601208588	0.982942924299246
Prevotella	treatment	Low	-0.098623162066169	0.550127152254297	121	28	0.860107335720219	0.982942924299246
Desulfovibrio.1	treatment	Low	-0.0441894617005452	0.762224864186564	121	37	0.954444963435109	0.982942924299246
Desulfovibrio.1	treatment	High	-0.164354207811703	0.697563653258856	121	37	0.816638869061885	0.982942924299246
Desulfovibrio.2	treatment	High	0.179183713135492	1.10523243118549	121	47	0.873153944870599	0.982942924299246
Mucispirillum	treatment	Low	0.0458405542088697	0.303179208467718	121	22	0.880078707805603	0.982942924299246
Fimbriiglobus	treatment	High	0.263579364081584	1.12297826395108	121	30	0.817432135891373	0.982942924299246
Dysosmobacter	treatment	Low	0.0475764482789325	0.349206277767882	121	16	0.893374134235608	0.982942924299246
Dysosmobacter	treatment	High	-0.0383921650862831	0.318498248075827	121	16	0.905582970397502	0.982942924299246
Enterenecus	treatment	Low	-0.0685358615469612	0.347440647570967	121	13	0.845890553282412	0.982942924299246
Enterenecus	treatment	High	-0.0376768014846888	0.318154620542956	121	13	0.907121391766057	0.982942924299246
Enterenecus	log_reads	log_reads	0.0192190270470732	0.10262153580632	121	13	0.851765913561471	0.982942924299246
UBA3282	treatment	High	0.34404073807469	1.37505926985297	121	62	0.805357903828976	0.982942924299246
Ligilactobacillus	treatment	High	0.0642303626350998	0.685890414723302	121	31	0.926479604782633	0.982942924299246
Clostridium	treatment	Low	-0.0485563889244623	0.730816387356561	121	32	0.947801935282724	0.982942924299246
Clostridium	treatment	High	0.0348616921707009	0.667145332330244	121	32	0.958947725069098	0.982942924299246
Staphylococcus	treatment	Low	-0.0527455360303387	0.353579727858826	121	17	0.881671749297947	0.982942924299246
Niallia	treatment	Low	-0.119026840739936	0.386497385002157	121	14	0.758658168569067	0.982942924299246
Niallia	treatment	High	0.0208693505634367	0.353012600732953	121	14	0.95295908626573	0.982942924299246
Rossellomorea	treatment	Low	-0.0366711815224956	0.480404175652024	121	22	0.939283737948187	0.982942924299246
